_id,comment,sentiment
67bf2de6ef3fd0117e0a1cd8,Don't play the Ferran please,0
67bf2de6ef3fd0117e0a1cd9,Sorloth vit ses noces tjrs avec fcb,0
67bf2de6ef3fd0117e0a1cda,Que mierda de narradores,0
67bf2de6ef3fd0117e0a1cdb,انا جوليا الداودي من غزه ابي وامي التشهد و راح اموت من الفرحه إذا جاني شعاار اشترااك جديد,0
67bf2de6ef3fd0117e0a1cdc,This thing has no commentary,0
67bf2de6ef3fd0117e0a1cdd,Gollllllllllll,0
67bf2de6ef3fd0117e0a1cde,"Loved the content, keep it coming!",0.875
67bf2de6ef3fd0117e0a1cdf,we got robbed (barcelona) clearly a pen for lamine,0.10000000000000002
67bf2de6ef3fd0117e0a1ce0,Visca Barca,0
67bf2de6ef3fd0117e0a1ce1,Visca Barca,0
67bf2de6ef3fd0117e0a1ce2,Visca Barca,0
67bf2de6ef3fd0117e0a1ce3,2:35 wait??,0
67bf2de6ef3fd0117e0a1ce4,mana mana rancak,0
67bf2de6ef3fd0117e0a1ce5,❤❤❤,0
67bf2de6ef3fd0117e0a1ce6,Forza Barça 💪 !,0
67bf2de6ef3fd0117e0a1ce7,"No sé por qué la necesidad de aferrarse a tener a Szczesny de titular , cuando la mayoría de los partidos dónde le hacen goles no da ni una , de 10 jugadas ataja 3 y ya le quieren hacer un monumento, creo que es mejor Iñaki Peña aparte que es muy joven , tiene que agarrar más confianza ya que el será el suplente de Ter Stegen en unos años , es absurdo que por su culpa nos metieran 4  y ni hablar del resto de los partidos",0.1
67bf2de6ef3fd0117e0a1ce8,"Fantastic explanation, thank you!",0.5
67bf2de6ef3fd0117e0a1ce9,We could have easily scored 6goals in this match,0.43333333333333335
67bf2de6ef3fd0117e0a1cea,Partidazo👏👏👏👏👏💪💪💪👍,0
67bf2de6ef3fd0117e0a1ceb,En lo personal me desagradan mucho los comentaristas que no pueden ni festejar poquito los goles del los equipos que no le van,0
67bf2de6ef3fd0117e0a1cec,Get Isak pleaseee... we need a future nr 9!,0
67bf2de6ef3fd0117e0a1ced,Ferran becomes world class when he is introduced as a sub instead of a starter,0
67bf2de6ef3fd0117e0a1cee,"Loved the content, keep it coming!",0.875
67bf2de6ef3fd0117e0a1cef,"If you are in a two goal lead at the 80th minute, you hold the ball. Our defensive line went too up",0
67bf2de6ef3fd0117e0a1cf0,Ferran is the Barcelona Nunez,0
67bf2de6ef3fd0117e0a1cf1,"Si te marcan un gol a los 50 segundos, es una falta total de concentración. Regalamos los 4 goles que nos metieron. INACEPTABLE.",0
67bf2de6ef3fd0117e0a1cf2,This is the best game in 2025 .,0.3
67bf2de6ef3fd0117e0a1cf3,2nd leg await 😊,0
67bf2de6ef3fd0117e0a1cf4,Cuando los comentaristas son hinchas de uno de los equipos que están narrando!!!..... jajajajajaja,0
67bf2de6ef3fd0117e0a1cf5,Congrats AM,0
67bf2de6ef3fd0117e0a1cf6,"Fantastic video, really appreciate your effort!",0.325
67bf2de6ef3fd0117e0a1cf7,"You'd think Barca would've learnt from their previous encounter, that Atleti never (!) give up, and are deadliest in the last five minutes. Aupa Atletico! 💪❤️💛💛❤️",-0.05555555555555555
67bf2de6ef3fd0117e0a1cf8,"lewa has to go ,ferran has to go . Lamine yamal is too good",0.7
67bf2de6ef3fd0117e0a1cf9,Great video! Really enjoyed it.,0.75
67bf2de6ef3fd0117e0a1cfa,Зачем сразу счет написали? Так же не интересно смотреть 😢,0
67bf2de6ef3fd0117e0a1cfb,Por primera vez yo vi un entrenador cometidos tantos errores   en sus cambios  si barça perder cuatro partidos Flick tienes culpa en tres con sus malas decisiones,0
67bf2f82be95c2ae0c8c861d,"👋 This video offers MULTIPLE MATCH COMMENTARY OPTIONS to enhance your viewing experience:🎧\r\n\r\nHow to Switch Audio Tracks:\r\n Click on the settings icon (⚙) in the video player.\r\n Select Audio Track or Language.\r\n Choose your desired option: English, Spanish, or Catalan.\r\n\r\nLet us know in the comments which commentary you enjoyed the most! 🎤👇",0.2041666666666667
67bf2f82be95c2ae0c8c861e,"This video was amazing, learned a lot.",0.6000000000000001
